m_Dropped,Empirical_Gamma,Oracle_Gamma,Iteration,N_Samples,Theoretical
1,2.6527797986978188,2.717267573374203,1,1000,2.718281828459045
2,6.272907829555928,6.477824351635177,1,1000,6.6858944422792685
3,11.141522965527715,11.440436439836713,1,1000,14.879731724872837
4,16.277682919726274,19.051302460371286,1,1000,29.964100047397025
5,23.77745603343877,21.272186855144138,1,1000,54.598150033144236
6,27.97241208136645,25.40087024930122,1,1000,90.01713130052181
7,29.90728829840128,27.294254954054185,1,1000,134.28977968493552
8,30.20555436759983,28.162459263767854,1,1000,181.27224187515122
9,30.243718369509644,28.033708017828875,1,1000,221.40641620418717
10,26.562335015370017,23.44376925439433,1,1000,244.69193226422038
1,3.377114536241715,2.7177552389010082,1,10000,2.718281828459045
2,8.22457844357198,6.465212645079157,1,10000,6.6858944422792685
3,16.646851993221482,14.059423648297381,1,10000,14.879731724872837
4,26.842644683857266,22.8097941789075,1,10000,29.964100047397025
5,39.12702913824098,33.87760642056594,1,10000,54.598150033144236
6,46.897460147052676,40.95373391445004,1,10000,90.01713130052181
7,54.22938117185767,49.365877530674204,1,10000,134.28977968493552
8,58.53242615130407,56.04286817280078,1,10000,181.27224187515122
9,62.077783210376346,59.59133145699449,1,10000,221.40641620418717
10,59.48451766309443,56.8146668320548,1,10000,244.69193226422038
1,3.3344207860836224,2.7182618984827647,1,100000,2.718281828459045
2,8.521815573605016,6.64627360723271,1,100000,6.6858944422792685
3,17.337054933459967,13.921749056056042,1,100000,14.879731724872837
4,29.109962514250434,24.633774188761446,1,100000,29.964100047397025
5,42.29219305110409,37.34753426629033,1,100000,54.598150033144236
6,61.261993323186566,60.890288320982805,1,100000,90.01713130052181
7,66.85367970184657,67.52078555774666,1,100000,134.28977968493552
8,68.67387283486751,70.97078814321536,1,100000,181.27224187515122
9,67.98640383927973,67.27032184023156,1,100000,221.40641620418717
10,68.26517370030757,66.74217910197169,1,100000,244.69193226422038
1,3.5328426725414737,2.714424999019886,2,1000,2.718281828459045
2,8.228900766022488,6.251030400038188,2,1000,6.6858944422792685
3,15.0989642387754,13.471726445363075,2,1000,14.879731724872837
4,25.516073605310805,21.53100469815019,2,1000,29.964100047397025
5,31.023960519271803,28.838796117974354,2,1000,54.598150033144236
6,36.67284636748819,34.2630270595816,2,1000,90.01713130052181
7,40.949641270982866,37.63932439560958,2,1000,134.28977968493552
8,43.319386659492814,39.65171142366485,2,1000,181.27224187515122
9,44.718864888728866,30.185581828612595,2,1000,221.40641620418717
10,44.98906003315363,26.06738773332304,2,1000,244.69193226422038
1,3.242189720230992,2.717888547168919,2,10000,2.718281828459045
2,7.280795466732987,6.600720377008399,2,10000,6.6858944422792685
3,13.406879889196109,13.160588786842364,2,10000,14.879731724872837
4,21.598709900851972,22.364530318363194,2,10000,29.964100047397025
5,31.946517059666622,30.454509987230672,2,10000,54.598150033144236
6,44.52784448062212,43.455249855330585,2,10000,90.01713130052181
7,45.12135117660479,44.98507659440282,2,10000,134.28977968493552
8,45.59530271155227,46.27400948971858,2,10000,181.27224187515122
9,45.793112311862544,45.33263511481047,2,10000,221.40641620418717
10,45.644713929284784,44.525450683753775,2,10000,244.69193226422038
1,3.2973429396194898,2.718246527787004,2,100000,2.718281828459045
2,8.176546110171381,6.6420936309943315,2,100000,6.6858944422792685
3,16.978993603503593,14.474954760907622,2,100000,14.879731724872837
4,26.719583042662066,27.643388566709916,2,100000,29.964100047397025
5,40.450019904067325,40.91569559658482,2,100000,54.598150033144236
6,53.53139539653338,56.18971759867289,2,100000,90.01713130052181
7,69.27951376264615,71.06038249164953,2,100000,134.28977968493552
8,83.09936259413661,88.41021349883704,2,100000,181.27224187515122
9,89.4837371455689,97.50983722767819,2,100000,221.40641620418717
10,82.82711156243437,89.48779036318254,2,100000,244.69193226422038
1,3.6771991818343457,2.709504459661838,3,1000,2.718281828459045
2,8.84429879961229,5.934405809721893,3,1000,6.6858944422792685
3,18.587874049070802,11.514234080586716,3,1000,14.879731724872837
4,30.858522733917376,18.822480369915827,3,1000,29.964100047397025
5,39.208386600831965,23.622659911512724,3,1000,54.598150033144236
6,41.7021521962531,29.145116758600324,3,1000,90.01713130052181
7,42.91963212805841,31.301487724269407,3,1000,134.28977968493552
8,43.01147185278533,31.38518748982307,3,1000,181.27224187515122
9,44.44721387343836,32.610474963993894,3,1000,221.40641620418717
10,41.985965328906545,30.27576502615631,3,1000,244.69193226422038
1,3.1741227654541095,2.7181119133280935,3,10000,2.718281828459045
2,7.376133256297265,6.468915465176047,3,10000,6.6858944422792685
3,13.049661141935903,12.838993101898431,3,10000,14.879731724872837
4,20.863056858582887,22.03896648238204,3,10000,29.964100047397025
5,30.94697697126832,35.6261415452802,3,10000,54.598150033144236
6,34.51112246097149,40.97288814922315,3,10000,90.01713130052181
7,37.63036622729386,43.1749792402849,3,10000,134.28977968493552
8,41.55418265199806,49.13144651867987,3,10000,181.27224187515122
9,42.132014959625316,49.991011686088115,3,10000,221.40641620418717
10,39.18071112547353,45.204982854477564,3,10000,244.69193226422038
1,3.301057670065369,2.7182725733393798,3,100000,2.718281828459045
2,8.26546637364899,6.656406920907054,3,100000,6.6858944422792685
3,16.46525932201032,14.247481863487478,3,100000,14.879731724872837
4,25.410528168640568,26.659299467836174,3,100000,29.964100047397025
5,37.779777734182794,39.06608045877871,3,100000,54.598150033144236
6,47.751951165754434,48.107211483675265,3,100000,90.01713130052181
7,57.77482370620651,56.74812431529903,3,100000,134.28977968493552
8,71.849990094882,73.54593310333424,3,100000,181.27224187515122
9,72.65354766392751,74.56314731206908,3,100000,221.40641620418717
10,70.75734212462365,71.88258556876582,3,100000,244.69193226422038
1,3.886480537545467,2.715507548445085,4,1000,2.718281828459045
