m_Dropped,Theoretical,Median,P90,P95,P99,Max,Median_Recovery,P90_Recovery,P95_Recovery,P99_Recovery,Max_Recovery,Boundary_Individual
1,2.718281828459045,1.9853430461459705,2.429927626188221,2.528215745126108,2.712910782685996,2.9831929083009365,0.7303668903497886,0.8939204172091721,0.9300785954778342,0.9980241026825044,1.0974553400123583,8745
2,6.6858944422792685,2.944557272875672,4.182215175932389,4.6044242328434,5.487266157735633,6.893555094378711,0.44041336552598215,0.6255281491561572,0.6886773748216282,0.8207228225196127,1.0310595170013857,578
3,14.879731724872837,3.7723010507027688,5.993582628188163,6.862045165512378,8.81933600337875,12.26830426577577,0.2535194263211763,0.4028017936754424,0.46116726379158035,0.5927079981312042,0.8244976786287197,8783
4,29.964100047397025,4.3870487298491785,7.554419373694539,8.943170868829336,12.244517145703101,18.82756444922579,0.14641016159036221,0.2521156771518252,0.29846285570676523,0.4086395762373908,0.6283373910594501,5006
5,54.598150033144236,4.726456713853988,8.827874140266397,10.608785433700673,15.205502938030598,26.355247584989094,0.08656807439418288,0.16168815490831406,0.19430668305172477,0.2784985009345551,0.4827131975898439,2969
6,90.01713130052181,4.786171098623967,9.581413869711529,11.66335760118297,17.519727456606876,34.2891126480781,0.05316955816604903,0.1064398935100922,0.12956819921582372,0.19462659166639448,0.3809176337069001,2969
7,134.28977968493552,4.536814705449498,9.745271920858944,12.082712973900708,18.457654442469387,36.48131979135826,0.03378376758152082,0.07256897690742252,0.08997492588228688,0.13744645710026396,0.27166117836330544,2891
8,181.27224187515122,3.995784024733852,9.276246548011487,11.843979228961555,18.67970537370536,42.963349099246145,0.022042999983891046,0.051173011664965094,0.06533807441471891,0.10304779805487678,0.2370100830376256,9563
9,221.40641620418717,3.1475437781660554,8.096111119931198,10.64533406652956,17.612327937857962,44.44699799859282,0.014216136244503876,0.03656674119355574,0.04808051297263281,0.07954750471917392,0.20074846411678765,9563
10,244.69193226422038,2.099512057734198,6.186797017227062,8.2999912516761,14.94882439130135,40.25610996087907,0.008580225912259043,0.025284025345578238,0.03392016718685151,0.06109242856098535,0.16451752041178944,9563
