m_Dropped,Gamma,Theoretical,Recovery,Dataset,Iteration
1,3.611785378990927,2.718281828459045,1.3287015868543683,standard,1
2,8.614893530993667,6.6858944422792685,1.288517730180734,standard,1
3,18.101163969115394,14.879731724872837,1.2164980057306838,standard,1
4,27.845120013162525,29.964100047397025,0.9292827072769511,standard,1
5,40.221721693535,54.598150033144236,0.736686530021953,standard,1
6,54.20160650301567,90.01713130052181,0.6021254590091728,standard,1
7,71.14668705120411,134.28977968493552,0.5297997153478484,standard,1
8,82.45944389928069,181.27224187515122,0.45489283437049066,standard,1
9,83.60758512886021,221.40641620418717,0.37762042565087617,standard,1
10,80.91095865232226,244.69193226422038,0.3306645948790577,standard,1
1,4.50923300522528,2.718281828459045,1.6588541180740994,corners,1
2,12.457704033102699,6.6858944422792685,1.8632815909154228,corners,1
3,27.62904529997591,14.879731724872837,1.856824155894654,corners,1
4,50.26259448083881,29.964100047397025,1.6774271345154286,corners,1
5,82.81617828056217,54.598150033144236,1.5168312155318076,corners,1
6,129.79948879401556,90.01713130052181,1.44194207167834,corners,1
7,184.99346661034048,134.28977968493552,1.3775692166921683,corners,1
8,231.56277775811,181.27224187515122,1.2774309809529232,corners,1
9,274.13352975038987,221.40641620418717,1.2381462762017532,corners,1
10,300.82120826809006,244.69193226422038,1.2293875220342811,corners,1
1,3.4272960164500135,2.718281828459045,1.2608317432607414,standard,2
2,8.54004864685178,6.6858944422792685,1.2773232842037539,standard,2
3,17.185939510216453,14.879731724872837,1.1549898766984206,standard,2
4,27.36028342160525,29.964100047397025,0.9131021248202658,standard,2
5,38.38725568957747,54.598150033144236,0.7030871131398077,standard,2
6,49.87597059468752,90.01713130052181,0.5540719846778588,standard,2
7,55.77298396288199,134.28977968493552,0.4153181581929316,standard,2
8,58.79604803443268,181.27224187515122,0.32435218666809257,standard,2
9,61.75535317371559,221.40641620418717,0.27892305124871847,standard,2
10,61.09977606183765,244.69193226422038,0.24970081970606864,standard,2
1,3.913016234329385,2.718281828459045,1.4395182255798757,corners,2
2,10.856681458151904,6.6858944422792685,1.6238188550357646,corners,2
3,24.775409376633263,14.879731724872837,1.6650440904938422,corners,2
4,45.34804512877896,29.964100047397025,1.5134125522557897,corners,2
5,80.18731586228563,54.598150033144236,1.46868192079049,corners,2
6,113.8045162115383,90.01713130052181,1.2642539766303194,corners,2
7,154.22109293596577,134.28977968493552,1.1484201798364118,corners,2
8,187.2010430871747,181.27224187515122,1.032706613824012,corners,2
9,210.0624455546538,221.40641620418717,0.9487640383507602,corners,2
10,230.02315955769936,244.69193226422038,0.9400520786656686,corners,2
1,3.1943215762253243,2.718281828459045,1.175125236383653,standard,3
2,8.002638589589617,6.6858944422792685,1.1969436039826948,standard,3
3,16.079202746576428,14.879731724872837,1.0806110650300613,standard,3
4,25.121167235308224,29.964100047397025,0.8383754958624394,standard,3
5,32.399075459856164,54.598150033144236,0.5934097664515748,standard,3
6,41.95959446834328,90.01713130052181,0.4661289896948766,standard,3
7,46.17740104831555,134.28977968493552,0.3438638529056704,standard,3
8,47.84027496710427,181.27224187515122,0.2639139587629396,standard,3
9,50.7797150015323,221.40641620418717,0.22935069304722333,standard,3
10,41.1760106329116,244.69193226422038,0.16827694420447586,standard,3
1,3.7351651731150675,2.718281828459045,1.3740904765686046,corners,3
2,10.500655645886324,6.6858944422792685,1.5705685658875848,corners,3
3,25.234720721878674,14.879731724872837,1.6959123449582443,corners,3
4,44.272379350258205,29.964100047397025,1.4775140678421321,corners,3
5,69.92901618951974,54.598150033144236,1.28079460837169,corners,3
6,103.9896170489541,90.01713130052181,1.1552202958099742,corners,3
7,141.8551456264036,134.28977968493552,1.0563361259450839,corners,3
8,189.45086006071745,181.27224187515122,1.0451178740934817,corners,3
9,234.5253863598222,221.40641620418717,1.0592528905916454,corners,3
10,257.74439707725173,244.69193226422038,1.0533424403994538,corners,3
1,2.901980096086697,2.718281828459045,1.0675788160390225,standard,4
2,6.505487156199072,6.6858944422792685,0.973016731323282,standard,4
3,13.065942748989334,14.879731724872837,0.8781033818740436,standard,4
4,23.84671019057927,29.964100047397025,0.7958426968558606,standard,4
5,35.226053362704334,54.598150033144236,0.645187672866573,standard,4
6,43.57493276279241,90.01713130052181,0.48407377721600214,standard,4
7,52.22320112249176,134.28977968493552,0.38888440538822405,standard,4
8,55.73632681371229,181.27224187515122,0.3074730374444198,standard,4
9,58.7843950412008,221.40641620418717,0.2655044783661021,standard,4
10,57.196953445772124,244.69193226422038,0.23375087570934042,standard,4
1,3.328893640068589,2.718281828459045,1.224631532027601,corners,4
2,8.50012264908925,6.6858944422792685,1.271351607847326,corners,4
3,19.453072650424996,14.879731724872837,1.3073537218354145,corners,4
4,36.8735311467667,29.964100047397025,1.2305903093515367,corners,4
5,60.442677236193454,54.598150033144236,1.107046249726433,corners,4
6,94.59071910176748,90.01713130052181,1.0508079710513853,corners,4
7,129.6819949545828,134.28977968493552,0.9656877482324917,corners,4
8,165.07004463991592,181.27224187515122,0.9106195351939524,corners,4
9,200.70341990864594,221.40641620418717,0.9064932414765778,corners,4
10,223.57872790021133,244.69193226422038,0.9137151594307129,corners,4
1,3.3628533782412564,2.718281828459045,1.2371246215288905,standard,5
2,8.605988715024063,6.6858944422792685,1.2871858491517285,standard,5
3,17.97032686935896,14.879731724872837,1.2077050313561708,standard,5
4,27.78199031912888,29.964100047397025,0.9271758629554534,standard,5
5,43.146207596380975,54.598150033144236,0.7902503577536736,standard,5
6,60.44842595606484,90.01713130052181,0.6715213546881207,standard,5
7,78.07981238802596,134.28977968493552,0.5814278091096226,standard,5
8,82.17155591968971,181.27224187515122,0.45330468178511435,standard,5
9,82.7880362446519,221.40641620418717,0.3739188667789215,standard,5
10,77.54151195219686,244.69193226422038,0.31689443634155817,standard,5
1,3.712469910682554,2.718281828459045,1.3657413561076923,corners,5
2,11.21631108368865,6.6858944422792685,1.677608161558849,corners,5
3,26.46455293075502,14.879731724872837,1.778563849139638,corners,5
4,49.038669491853696,29.964100047397025,1.6365807554468392,corners,5
5,83.62760723924919,54.598150033144236,1.5316930553229806,corners,5
6,125.83534848945233,90.01713130052181,1.3979044507578402,corners,5
7,174.7967496889722,134.28977968493552,1.3016385170864995,corners,5
8,223.3530106741949,181.27224187515122,1.2321412719550644,corners,5
9,266.49965550775596,221.40641620418717,1.2036672652791713,corners,5
10,261.6042594438596,244.69193226422038,1.069116815675709,corners,5
1,3.289129433850868,2.718281828459045,1.2100030980655998,standard,6
2,8.31040968253363,6.6858944422792685,1.2429765013909722,standard,6
3,15.148772737539938,14.879731724872837,1.018081039204314,standard,6
4,23.244957854718905,29.964100047397025,0.7757602537019359,standard,6
5,33.95518274990656,54.598150033144236,0.6219108656482647,standard,6
6,42.90679457506048,90.01713130052181,0.47665143240142066,standard,6
7,52.4815892967721,134.28977968493552,0.39080851439254705,standard,6
8,55.46233316084455,181.27224187515122,0.3059615338074953,standard,6
9,57.930437819348356,221.40641620418717,0.2616475114520769,standard,6
10,59.72455674750431,244.69193226422038,0.24408061269062697,standard,6
1,3.964359222980153,2.718281828459045,1.4584062555527921,corners,6
2,11.538076510839407,6.6858944422792685,1.725734172211369,corners,6
3,26.035289043173005,14.879731724872837,1.7497149494740305,corners,6
4,45.8462087959045,29.964100047397025,1.5300379028031963,corners,6
5,76.02988916973257,54.598150033144236,1.3925359947833036,corners,6
6,111.06826022110822,90.01713130052181,1.2338569183048869,corners,6
